service_id,service_type_id,client_name,hours,service_date,service_time,hourly_rate,total_revenue,branch_id,department,service_description,Country,Region,Day_nbr,Day_name,weekend,Day,Month,Year,Hour,Periods per day,Season,Revenue_Level,Weeks
5,5,Harris PLC,2,20/08/2023,14:32:03,600,1200,AM,Management,Quarterly Review,United States,Americas,20,Saturday,Weekend,Saturday - 20,August,2023,14,Afternoon,Summer,Low,Week 3
6,8,Ibarra Ltd,5,24/12/2023,20:06:26,1500,7500,AM,Management,Quarterly Review,United States,Americas,24,Wednesday,No,Wednesday - 24,December,2023,20,Evening,Winter,High,Week 4
11,4,Hayes Inc,2,3/10/2023,9:21:01,1500,3000,AM,Tax,Annual Tax Filing,United States,Americas,03,Wednesday,No,Wednesday - 03,October,2023,9,Morning,Autumn,Medium,Week 1
12,7,"Powell, Ayala and Jo",1,17/11/2023,13:59:32,1200,1200,AM,Audit,Annual Tax Filing,United States,Americas,17,Wednesday,No,Wednesday - 17,November,2023,13,Midday/Noon,Autumn,Low,Week 3
14,2,Cobb-Buchanan,5,21/10/2023,10:42:08,1200,6000,AM,Management,Market Analysis,United States,Americas,21,Sunday,Weekend,Sunday - 21,October,2023,10,Morning,Autumn,High,Week 3
18,9,Phillips-Miller,4,13/08/2023,4:29:57,300,1200,AM,Legal,Legal Consultation,United States,Americas,13,Saturday,Weekend,Saturday - 13,August,2023,4,Midnight and After,Summer,Low,Week 2
22,1,Vasquez Ltd,2,24/02/2023,11:02:05,1500,3000,AM,Advisory,Legal Consultation,United States,Americas,24,Wednesday,No,Wednesday - 24,February,2023,11,Morning,Winter,Medium,Week 4
25,5,Williams-Patton,8,21/12/2023,2:04:48,600,4800,AM,Tax,Strategy Consulting,United States,Americas,21,Sunday,Weekend,Sunday - 21,December,2023,2,Midnight and After,Winter,High,Week 3
29,3,"Allen, Thomas and Ar",5,14/06/2023,16:46:16,600,3000,AM,Legal,Legal Consultation,United States,Americas,14,Sunday,Weekend,Sunday - 14,June,2023,16,Afternoon,Summer,Medium,Week 2
30,6,Camacho-Patterson,4,24/03/2023,12:31:11,1500,6000,AM,Legal,Market Analysis,United States,Americas,24,Wednesday,No,Wednesday - 24,March,2023,12,Midday/Noon,Spring,High,Week 4
32,9,Parrish and Sons,7,6/3/2023,4:23:25,600,4200,AM,Audit,Strategy Consulting,United States,Americas,06,Saturday,Weekend,Saturday - 06,March,2023,4,Midnight and After,Spring,High,Week 1
34,6,"Jones, Jennings and ",7,14/01/2023,21:49:23,300,2100,AM,Tax,Annual Tax Filing,United States,Americas,14,Sunday,Weekend,Sunday - 14,January,2023,21,Night,Winter,Medium,Week 2
39,8,"Davila, Fuller and B",4,14/04/2023,15:08:36,300,1200,AM,Management,Legal Consultation,United States,Americas,14,Sunday,Weekend,Sunday - 14,April,2023,15,Afternoon,Spring,Low,Week 2
